[2024-06-13 16:39:11,995][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:12,993][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:13,993][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:14,994][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:15,994][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:16,993][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:17,993][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:18,993][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-13 16:39:19,993][INFO] > Data: 0b110101010 | 0xA5F4

