[2024-06-04 09:41:20,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:21,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:22,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:23,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:24,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:25,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:26,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:27,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:28,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:29,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:30,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:31,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:32,063][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:33,070][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:34,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:35,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:36,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:37,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:38,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:39,065][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:40,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:41,068][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:42,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:43,065][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:44,067][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:45,064][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:46,069][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:47,077][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:41:48,064][INFO] > Data: 0b110101010 | 0xA5F4

