[2024-06-04 09:40:03,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:04,410][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:05,410][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:06,410][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:07,410][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:08,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:09,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:10,410][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:11,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:12,425][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:13,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:14,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:15,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:16,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:17,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:18,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:19,413][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:20,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:21,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:22,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:23,411][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:24,412][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:25,412][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:26,412][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:40:27,412][INFO] > Data: 0b110101010 | 0xA5F4

