[2024-06-04 09:45:19,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:20,530][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:21,530][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:22,530][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:23,538][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:24,530][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:25,530][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:26,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:27,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:28,530][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:29,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:30,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:31,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:32,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:33,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:34,539][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:35,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:36,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:37,531][INFO] > Data: 0b110101010 | 0xA5F4

[2024-06-04 09:45:38,531][INFO] > Data: 0b110101010 | 0xA5F4

